date,drive_count,drive_failures
2021-07-26,185370,6
2021-07-27,185352,6
2021-07-28,185471,6
2021-07-29,185551,6
2021-07-30,185733,5
2021-07-31,185667,9
2021-08-01,185676,2
2021-08-02,186897,5
2021-08-03,188055,6
2021-08-04,188174,9
2021-08-05,188115,5
2021-08-06,189995,2
2021-08-07,189930,10
2021-08-08,189936,4
2021-08-09,189990,8
2021-08-10,189966,3
2021-08-11,189997,8
2021-08-12,189809,17
2021-08-13,189808,10
2021-08-14,189789,5
2021-08-15,189749,5
2021-08-16,189743,4
2021-08-17,189752,4
2021-08-18,189874,11
2021-08-19,189870,3
2021-08-20,189935,9
2021-08-21,189874,5
2021-08-22,189813,2
2021-08-23,189811,5
2021-08-24,191032,8
2021-08-25,191029,3
2021-08-26,190973,10
2021-08-27,192313,6
2021-08-28,192311,8
2021-08-29,192313,1
2021-08-30,192314,6
2021-08-31,192313,12
2021-09-01,192312,4
2021-09-02,193471,10
2021-09-03,193565,1
2021-09-04,193534,16
2021-09-05,193568,2
2021-09-06,193636,2
2021-09-07,193634,9
2021-09-08,193575,6
2021-09-09,193718,8
2021-09-10,193656,10
2021-09-11,193426,12
2021-09-12,193404,6
2021-09-13,193410,9
2021-09-14,193474,9
2021-09-15,193510,3
2021-09-16,193593,10
2021-09-17,193655,5
2021-09-18,193595,5
2021-09-19,193594,2
2021-09-20,193596,10
2021-09-21,193597,2
2021-09-22,194879,7
2021-09-23,194708,10
2021-09-24,194689,8
2021-09-25,194707,9
2021-09-26,194679,6
2021-09-27,194589,2
2021-09-28,194707,1
2021-09-29,194700,5
2021-09-30,194749,0
2021-10-01,194812,7
2021-10-02,194780,9
2021-10-03,194754,3
2021-10-04,194814,6
2021-10-05,194815,10
2021-10-06,194813,10
2021-10-07,194813,7
2021-10-08,194875,6
2021-10-09,194936,6
2021-10-10,194866,5
2021-10-11,194826,10
2021-10-12,194886,10
2021-10-13,194872,6
2021-10-14,194904,7
2021-10-15,196093,6
2021-10-16,196032,4
2021-10-17,195972,9
2021-10-18,196031,2
2021-10-19,196037,10
2021-10-20,195989,7
2021-10-21,196031,8
2021-10-22,196031,5
2021-10-23,196035,4
2021-10-24,197256,5
2021-10-25,197253,6
2021-10-26,197252,6
2021-10-27,197252,9
2021-10-28,197313,9
2021-10-29,197289,6
2021-10-30,197312,10
2021-10-31,197250,6
2021-11-01,197066,4
2021-11-02,197176,6
2021-11-03,197262,7
2021-11-04,197313,7
2021-11-05,197284,8
2021-11-06,197579,8
2021-11-07,197780,9
2021-11-08,197787,6
2021-11-09,199013,4
2021-11-10,198998,7
2021-11-11,199055,5
2021-11-12,199076,9
2021-11-13,199135,8
2021-11-14,199132,7
2021-11-15,199082,11
2021-11-16,199130,7
2021-11-17,199133,11
2021-11-18,199135,6
2021-11-19,199674,14
2021-11-20,199651,10
2021-11-21,199675,7
2021-11-22,199679,9
2021-11-23,199665,11
2021-11-24,199679,4
2021-11-25,199676,6
2021-11-26,199586,5
2021-11-27,199610,10
2021-11-28,199618,5
2021-11-29,199555,11
2021-11-30,199675,9
2021-12-01,199674,10
2021-12-02,199643,11
2021-12-03,199673,5
2021-12-04,199668,5
2021-12-05,199677,5
2021-12-06,199674,7
2021-12-07,199676,3
2021-12-08,199677,7
2021-12-09,206994,5
2021-12-10,206970,6
2021-12-11,206996,5
2021-12-12,206993,10
2021-12-13,206990,10
2021-12-14,206805,23
